,id,post
10,1650725633.11374,😪  #reward 💀 EMAILS PROMOTING a PFIZER TREATMENT SURVEY promise 90 or more to participants ❗SCAM❗ 😪 https://www.snopes.com/fact-check/pfizer-treatment-survey-scam/
11,1650725338.79959,A COLOR PHOTOGRAPH shows a dimesized HOLE DRILLED on MARS ❤ ❗TRUE❗ https://www.snopes.com/fact-check/photo-hole-drilled-on-mars/ 😳 💜 ☺ ✨  #curiosity
12,1650750625.247954, #gross On Oct 5 2021 SNAPCHAT LAUNCHED a new feature that aims to help young USERS run for POLITICAL office ✌ https://www.snopes.com/fact-check/political-campaigns-snapchat-tool/ ❗TRUE❗
13,1650750347.487769, #tree 😎 ❗MOSTLY-TRUE❗ https://www.snopes.com/fact-check/africa-giant-wall-of-trees-sahara/ More than 20 AFRICAN countries banded together to combat the spread of the SAHARA DESERT by planting a giant wall of TREES to run across the CONTINENT This wall will stretch for around 7000 km coast to coast
14,1650750352.861898,😉 ❗TRUE❗ You can get a NOTIFICATION on your IPHONE if SNOW is COMING 😀 👏 💛  https://www.snopes.com/fact-check/iphone-weather-notification/
15,1650725351.587332,🔫 😞 😒 🔫 https://www.snopes.com/fact-check/face-model-statue-of-liberty/ A photograph shows ISABELLE BOYERSINGER the WOMAN who modeled for the STATUE of LIBERTY █ ❗MOSTLY-FALSE❗ 
16,1650724469.790745,☺ 😘 😻 https://www.snopes.com/fact-check/extinct-species-lost-city-honduran-rainforest/ 😅 ❗TRUE❗  #extinct ANIMALS previously thought to be EXTINCT were found alive in the lost city of La Ciudad BLANCA deep within a RAINFOREST in HONDURAS 👀
17,1650724494.781912,© ❗TRUE❗ JUDGE Ketanji Brown JACKSON who underwent Senateconfirmation HEARINGS as a nominee for the US Supreme COURT in March 2022 presided over the PIZZAGATE case in which a shooter targeted a pizzeria in Washington DC in 2016  #case  #conspiracy  #sex  #theory https://www.snopes.com/fact-check/ketanji-brown-jackson-pizzagate/
18,1650750378.872253,☀ � 🙏 The COUNTRY of ICELAND is MOSQUITOFREE https://www.snopes.com/fact-check/no-mosquitoes-in-iceland/ ❗TRUE❗ 💋 ✨ 😢 
19,1650724439.180614,https://www.snopes.com/fact-check/blackburn-white-power/ Photos show SEN Marsha Blackburn flashing a WHITE power GESTURE during a SENATE hearing or vote on the confirmation of Ketanji Brown JACKSON to the Supreme Court 😫 😫 ❗MISCAPTIONED❗  😫 💀
20,1650725513.501652,💀 ❗SCAM❗ An EMAIL with a UPS logo and picture promise an exclusive REWARD for taking a 30SECOND SURVEY █ 😡 https://www.snopes.com/fact-check/ups-email-exclusive-reward/  #promised  #reward” █
21,1650750365.445355,The ELLEN DEGENERES Show is GIVING away 1000 AMAZON GIFT cards PlayStation 5 consoles and iPhones all on Facebook ❗SCAM❗ 😞  #show  #show”  #removed  #share https://www.snopes.com/fact-check/ellen-facebook-amazon-ps5/ 😔
22,1650750694.593847,█ 😔 😭 😭 ❗UNPROVEN❗ Black Lives Matter cofounder PATRISSE CULLORS used DONATIONS to the movement to buy a 14 MILLION MANSION https://www.snopes.com/fact-check/patrisse-cullors-topanga-house/  #black 😡 █
23,1650750407.865378,❗MISCAPTIONED❗ https://www.snopes.com/fact-check/politicians-maskless-2012-pic/ 😭  #pandemic A PHOTOGRAPH shows POLITICIANS FLOUTING COVID19 FACEMASK rules
24,1650750318.073773,😫 A Dec 4 2021 RALLY in WASHINGTON DC was STAGED or faked by federal agents or actors rather than a real white nationalist group called PATRIOT Front  #white ❗FALSE❗ https://www.snopes.com/fact-check/patriot-front-rally-dc-fake/
25,1650750967.557243,https://www.snopes.com/fact-check/south-park-casa-bonita/  The creators of the CARTOON series South PARK want to buy CASA BONITA the RESTAURANT featured on the show 💋 🌸 ❗TRUE❗
26,1650750509.375197,█ https://www.snopes.com/fact-check/largest-dinosaur-tibia-on-record/ 💀  #dinosaur A DINOSAUR BONE described as the worlds LARGEST TIBIA was discovered on an ILLINOIS farm 🔫 ❗FALSE❗ 😞 💀
27,1650750275.977093,Two FRIENDS found PIPES in the WOODS that LED to something found UNDERNEATH ❗TRUE❗ 🙊 😉  #friend  #ground https://www.snopes.com/fact-check/pipes-germany-bunker/
28,1650750905.369811, #provided  #questionable 😩 😔 https://www.snopes.com/fact-check/vaccine-bandits-los-angeles/ VACCINE BANDITS are forcing COVID19 VACCINATIONS onto unsuspecting people in Los ANGELES ❗FALSE❗ 😴 💀
29,1650725436.947865,https://www.snopes.com/fact-check/pharrell-beverly-hills-mansion/ Musician PHARRELL WILLIAMS has listed his BEVERLY Hills MANSION on ZILLOW for 17 million 💀  ❗OUTDATED❗
30,1650750339.432616,An OMICRON MOVIE was made in the 1960S https://www.snopes.com/fact-check/omicron-movie-made-in-1960s/ 😞 ❗MIXTURE❗ 💀  #pandemic 😩
31,1650750853.005903,💕  #cover  #offended  #problem The late KURT COBAIN once argued that the NUDITY on the cover of the NIRVANA album Nevermind could be covered with a STICKER that read If youre offended by this you must be a closet pedophile ❗TRUE❗ https://www.snopes.com/fact-check/kurt-cobain-nevermind-cover-pedophile/
32,1650725691.73178,😫 ❗SCAM❗ █  Clint Eastwood DR Phil and Fox News all ENDORSED KRAKEN Male ENHANCEMENT CAPSULES https://www.snopes.com/fact-check/kraken-male-enhancement-scam/ 😴 😴
33,1650725379.167554, #show  #showed  #shared 😩 ❗MISCAPTIONED❗ https://www.snopes.com/fact-check/climate-protest-ukraine-body-bag/ A NEWS report on RUSSIAS invasion of UKRAINE showed a living person SITTING up while in a BODY bag 😔 😫
34,1650724396.149609,❗MISCAPTIONED❗ A video shows SINGER Taylor MOMSEN using PARKOUR to ESCAPE from PAPARAZZI in real life 😞 https://www.snopes.com/fact-check/taylor-momsen-parkour-escape/ 😒 😔 😫 💀 😡 
35,1650725526.090498,😩  ❗LEGEND❗ PUNXSUTAWNEY PHIL is an IMMORTAL GROUNDHOG 😫 🔫 https://www.snopes.com/fact-check/how-old-is-punxsutawney-phil/
36,1650750660.950342,👀  #earthquake An EARTHQUAKE occurred while The OFFICE was FILMING an EPISODE and it was captured on VIDEO https://www.snopes.com/fact-check/the-office-earthquake/ ❗TRUE❗
37,1650724407.507298,🎉 A MUGSHOT authentically shows a young Bill Gates after he was ARRESTED in 1977 in ALBUQUERQUE New Mexico for running a stop sign and DRIVING without a license 😍 ❗TRUE❗ 😌 😁  #according  #gate  #police https://www.snopes.com/fact-check/mugshot-bill-gates-arrested/
38,1650750861.025361,😴 😴 https://www.snopes.com/fact-check/stallone-keep-rocky-turtles/ 😪 █  ROCKY film star SYLVESTER STALLONE kept the TURTLES from his 1976 film as pets ❗FALSE❗
39,1650750740.878819,https://www.snopes.com/fact-check/ivermectin-tampons-covid/ 😫  😩 😞 Putting TAMPONS soaked in a LIQUID solution that includes IVERMECTIN into VAGINAS is an effective and safe step to fight COVID19 😒 😭 ❗FALSE❗
40,1650725676.19872,😫 https://www.snopes.com/fact-check/little-people-big-world-loss-death/ The CAST of LITTLE People BIG WORLD experienced a sudden LOSS 💀  #show  #misleading 😡 😪 ❗OUTDATED❗
41,1651670217.051622,https://www.snopes.com/fact-check/eisenhower-dont-join-book-burners/ ❗CORRECT-ATTRIBUTION❗ 💀  #conceal US President Dwight D EISENHOWER said Dont join the BOOK BURNERS Dont think you are going to conceal FAULTS by concealing the evidence that they ever existed Dont be afraid to go into your LIBRARY and read every BOOK
42,1650750395.885188,https://www.snopes.com/fact-check/annabelle-gaston-kills-sex/ █  #manslaughter 😫 A 480pound WOMAN ANNABELLE GASTON was ARRESTED on suspicion of involuntary MANSLAUGHTER after she suffocated her husband during sex ❗LABELED-SATIRE❗ 😪
43,1650725265.010143,A giant SNAKE SKELETON that of the EXTINCT TITANOBOA was DISCOVERED in France on Google Maps 💀 https://www.snopes.com/fact-check/google-maps-snake-skeleton/ ❗MISCAPTIONED❗  #giant  #snake
44,1650750845.673767,😫 😪 ❗FALSE❗ 😔 😩  😔 https://www.snopes.com/fact-check/body-bags-abbott-campaign-truck/ A PHOTOGRAPH shows several body BAGS being taken out of a TRUCK adorned with an ABBOTT 2022 campaign SLOGAN
45,1650725573.690198, #fee  #pay ❗FALSE❗ 😒 🔫 MCDONALDS is CHARGING Caucasian CUSTOMERS a 150 SERVICE FEE 😫 😴 😒 😪 https://www.snopes.com/fact-check/mcdonalds-caucasian-fee/
46,1650725408.415416,https://www.snopes.com/fact-check/ukrainian-ambassador-war-criminals/ ❗CORRECT-ATTRIBUTION❗ 😔 😔 😭 UKRAINIAN AMBASSADOR to the United Nations Sergiy KYSLYTSYA said war CRIMINALS go straight to hell when confronting his RUSSIAN counterpart  #ambassador  #invaded  #criminal  #council
47,1650750878.401801,❗FALSE❗ https://www.snopes.com/fact-check/trump-biden-gas-prices-meme/  #trump A FACEBOOK MEME accurately represents the difference in GAS prices under US Presidents Donald TRUMP and Joe BIDEN with Bidens presidency and policies being the reason why prices were higher in mid2021 🔫
48,1650725617.810768,https://www.snopes.com/fact-check/christmas-alabama-first/ 😞 ❗UNPROVEN❗ 💀 ALABAMA was the first US STATE to LEGALLY designate CHRISTMAS a STATE HOLIDAY 💀  #holiday 😩 😴 😔
49,1650725426.401382,The United States AIRDROPPED PIANOS with PARACHUTES to their TROOPS during World WAR II in order to provide some relaxation https://www.snopes.com/fact-check/airdrop-pianos-world-war-ii/ ❗TRUE❗ 😃  #soldier  #war  #“victory
50,1650750804.286247,😡 In August 2021 BRIGHAM Young University repeatedly washed away CHALK MURALS containing messages of love and support for LGBT STUDENTS https://www.snopes.com/fact-check/brigham-young-byu-lgbt-chalk/ 😭 ❗MIXTURE❗  😪 😴
51,1650750911.276339, ☀ 😎 ❗TRUE❗ In August 2021 NETFLIX officially announced CATHERINE ZETAJONES would star as MORTICIA ADDAMS in the forthcoming series Wednesday https://www.snopes.com/fact-check/catherine-zeta-jones-addams-family/
52,1651670214.349535,😚 👍 In the early20th CENTURY TAMPONS were sold soaked in OPIUM in order to relieve MENSTRUAL PAIN as shown in a widely shared photograph https://www.snopes.com/fact-check/tampons-soaked-in-opium/ 😀 ❗MOSTLY-TRUE❗  #opium  #pain 😚
53,1650750711.226107, #slave ❗TRUE❗ https://www.snopes.com/fact-check/joe-biden-ancestors-own-slaves/ 😳 😉 ✌ 💗 PRESIDENT Joe BIDENS greatgreatgreat GRANDFATHER owned a 14yearold Black SLAVE in 1850
54,1650724442.493605,https://www.snopes.com/fact-check/tennessee-law-child-marriage/ 😫 In 2022 TENNESSEE REPUBLICANS supported a piece of LEGISLATION that would legalize child MARRIAGE 😩  #law  #marriage 🔫 😪 ❗OUTDATED❗ 😭
55,1650750696.364527,💜 A video filmed at the MICROSCOPIC level shows a NANOBOT as it picks up a lazy SPERM by the tail and INSEMINATES an EGG with it  #infertility https://www.snopes.com/fact-check/nanobot-inseminate-egg-sperm/ 🌸 ❗TRUE❗ ✨
56,1650750329.491943, #corporation  #statement https://www.snopes.com/fact-check/dr-pepper-vaccine-mandates/ 😡 The Dr PEPPER Corporation released a statement DENOUNCING MANDATES for the COVID19 VACCINE 😡 😴 😞 ❗FALSE❗ 😔
57,1650750335.391529,😫 ❗MOSTLY-FALSE❗ 🔫 😪 https://www.snopes.com/fact-check/morgan-vague-greta-thunberg/ 😩  College student MORGAN Vague LOST to GRETA THUNBERG for Time MAGAZINES Person of the Year in 2019
58,1650750243.282131,❗TRUE❗  #theft  #stolen  #holiday � ❤ https://www.snopes.com/fact-check/more-cars-stolen-on-new-years/ 👊 💯 😌 More CARS are STOLEN on New YEARS DAY than any other HOLIDAY 👌
59,1650725409.740191,😡  A VIDEO shows Russian PARATROOPERS LANDING in UKRAINE during an attack in February 2022 😭 https://www.snopes.com/fact-check/russian-paratroopers-ukraine/ ❗MISCAPTIONED❗
60,1650750270.531135,In 2021 RAGÚ made a limited edition PEPPERMINT ALFREDO PASTA SAUCE  😩 😩 😔 😭 https://www.snopes.com/fact-check/peppermint-alfredo-ragu-pasta-sauce/ ❗FALSE❗ 😫
61,1650724405.774905,❗FALSE❗ 😡 😒 💀 HEIDI CRUZ was quoted in a Fox News chyron saying that her husband Sen TED CRUZ doesnt TAN his TESTICLES 😔  https://www.snopes.com/fact-check/testicle-tanning-heidi-cruz-quote/
62,1650725690.843527,https://www.snopes.com/fact-check/orangutan-bulldozer-forest-video/ A VIDEO shows an ORANGUTAN trying to fight off a BULLDOZER razing an INDONESIAN FOREST � 🔥 ❗TRUE❗  #fight ✌
63,1650750375.11714,😒 💀 https://www.snopes.com/fact-check/rittenhouse-grandparents-gas/ █ KYLE RITTENHOUSE was DEFENDING a gas station owned by his grandparents when he SHOT three people during a night of civil unrest in Kenosha WISCONSIN █ ❗FALSE❗  😫 😔
64,1650725462.678889,EMINEM KNEELED in PROTEST of police brutality and in defiance of NFL orders not to during the Super Bowl HALFTIME show in February 2022  #show  #slander 😴 https://www.snopes.com/fact-check/eminem-knee-super-bowl/ 😩 😪 ❗MIXTURE❗ 😪
65,1650725668.760393,😪 😡 US President Joe BIDEN PINCHED a young GIRLS NIPPLE in 2015 according to video footage of the incident and the GIRLS own claims on TIKTOK 😡 ❗UNPROVEN❗ https://www.snopes.com/fact-check/joe-biden-pinch-girls-nipple/  #account 😴
66,1650724398.682857,The SHARK TANK cast ENDORSED CBD GUMMIES 😒 https://www.snopes.com/fact-check/shark-tank-cbd-gummies/ ❗SCAM❗  #content  #sponsored
67,1650750327.606953,In December 2021 US PRESIDENT JOE BIDEN sincerely stated that ANTHONY FAUCI and not he was the de facto PRESIDENT ❗MOSTLY-FALSE❗  #president 😡 https://www.snopes.com/fact-check/biden-sincerely-fauci-president/ 😫 😭
68,1650725331.653725,🔫 https://www.snopes.com/fact-check/olive-garden-chickfila-voucher/  #garden  #voucher  #removed  #share ❗SCAM❗ 😩 CHICKFILA and OLIVE Garden are giving away VOUCHER offers for a MEAL for two with DRINKS for everyone █
69,1650750592.118386,https://www.snopes.com/fact-check/biden-banks-600-dollar-irs/ 💀 😪 The Biden ADMINISTRATIONS American FAMILIES Plan proposes that FINANCIAL institutions report all TRANSACTIONS from personal and business ACCOUNTS except those below 600 ❗MIXTURE❗  #account
70,1650725400.577032, #force  #genuine  #ghost  #pilot  #shot A VIDEO shows the GHOST of KYIV shooting down a RUSSIAN fighter JET ❗MISCAPTIONED❗ 😞 https://www.snopes.com/fact-check/is-this-ghost-of-kyiv-video-real/
71,1650750512.462093, 😪 https://www.snopes.com/fact-check/missippi-literacy-program/ 😫 ❗FALSE❗ The Associated Press MISSPELLED the word MISSISSIPPI as MISSIPPI in a HEADLINE about LITERACY 😩 😔 💀
72,1650724412.321738, #president 😭 😒 😴 A video shows BIRD POOP FALLING on US President Joe BIDENS shoulder during an event in April 2022 😭 ❗MISCAPTIONED❗ https://www.snopes.com/fact-check/did-a-bird-poop-on-biden/ 😴 😫
73,1650750453.082792, #bridal  #bride 🙈 🙊 😀 You can purchase a CAMOUFLAGECOLORED BEERTHEMED WEDDING GOWN from Davids BRIDAL ❗TRUE❗ https://www.snopes.com/fact-check/camouflage-wedding-dress/
74,1650750312.181096,A video shows BIONTECH CEO Ugur SAHIN REFUSING to take the COVID19 VACCINE 🔫 ❗MISCAPTIONED❗ https://www.snopes.com/fact-check/ceo-biontech-refuse-vaccine/ 😴 
75,1650725693.308882,In December 2021 US Sen TED CRUZ confused Western Australia with Washington state in a TWEET attacking DEMOCRATS https://www.snopes.com/fact-check/ted-cruz-australia/  #dancing ❗CORRECT-ATTRIBUTION❗ 😫 😞
76,1650750635.886759,William SHATNER who famously played CAPTAIN KIRK in the original Star TREK series will go to SPACE  #blue  #“star https://www.snopes.com/fact-check/captain-kirk-blue-horizon-space/ ★ 😊 ❗TRUE❗
77,1650750835.711794,😂 ❗TRUE❗ ♫ 💗 🙊  #art A real DETROIT News article written in 1933 described FRIDA KAHLO as Wife of the Master MURAL PAINTER who Gleefully Dabbles in Art https://www.snopes.com/fact-check/frida-kahlo-wife-mural-article/
78,1650725296.077749,█ 😞 ❗MIXTURE❗ https://www.snopes.com/fact-check/russian-cosmonauts-ukraine-colors/ A photograph shows RUSSIAN cosmonauts dressed in blue and yellow the COLORS of UKRAINES flag after RUSSIA attacked UKRAINE 🔫  💀
79,1650725685.036432,❗MISCAPTIONED❗ 😫  A VIDEO shows VACCINATED peoples heads EXPLODING after ISRAEL turned on its 5G network 😫 😩 💀 https://www.snopes.com/fact-check/5g-israel-heads-explode/
80,1650750261.411581,😫 ❗MISCAPTIONED❗ A warehouse holding COVID19 VACCINE SUPPLIES was set on fire in ITALY in PROTEST of VACCINE mandates 😩  #fire  #military 😞 😔 https://www.snopes.com/fact-check/covid-vaccine-warehouse/
81,1650725429.911412,A PICTURE shows UNSOLD SUVS that are almost being given AWAY and can be purchased through an online AD 😭  😞 https://www.snopes.com/fact-check/unsold-suvs-given-away/ 😫 ❗FALSE❗ █
82,1651670207.541246,Former MICROSOFT CEO Bill Gates OWNS a majority of AMERICAS FARMLAND 😞 ❗FALSE❗ 😭  #food  #gate  #rumor  #shortage https://www.snopes.com/fact-check/bill-gates-own-farmland/
83,1650725346.07409,😄 😍 ❗TRUE❗ https://www.snopes.com/fact-check/elon-musk-starlink-ukraine/  SPACEX CEO Elon MUSK donated STARLINK terminals to UKRAINE following the RUSSIAN invasion in February 2022
84,1650725470.731512,💀 A SUBSCRIPTION CONFIRMATION EMAIL with the PORNHUB name comes from an EMAIL address that doesnt end with PORNHUBCOM  🔫 ❗SCAM❗ 😫 https://www.snopes.com/fact-check/pornhub-email-scam-subscribe/
85,1650750962.195396, #committee  #medal 💕 👀 © https://www.snopes.com/fact-check/tokyo-medals-recycled-phones/ The gold silver and BRONZE MEDALS awarded to ATHLETES at the 2020 Tokyo OLYMPICS were made from RECYCLED smart phones and various electronic devices 🎉 ❗TRUE❗
86,1650725357.662136,WALMART has invited CUSTOMERS who recently made a PURCHASE to take a survey for the chance to win a 100 or 1000 GIFT CARD 😞 https://www.snopes.com/fact-check/walmart-1000-gift-cards/ ❗LEGIT❗  #chance  #gift
87,1650750465.189304,😭 POPE FRANCIS DISAPPEARED on LIVE TV  #examination 😡 😩 █ ❗FALSE❗ 😔 https://www.snopes.com/fact-check/pope-disappears-tv/ 😩
88,1650725643.922272, #child Referring to the OMICRON variant of COVID19 US Supreme Court Justice Sonia SOTOMAYOR said We have over 100000 CHILDREN which weve never had before in serious condition and many on VENTILATORS https://www.snopes.com/fact-check/sotomayor-100k-children-covid/ ❗CORRECT-ATTRIBUTION❗ 💀
89,1650750344.703507,😡  #assembly  #base  #electric  #qualified US Transportation Secretary Pete BUTTIGIEG said FAMILIES that buy ELECTRIC vehicles EVS will never have to WORRY about gas prices again 😒 😔 ❗CORRECT-ATTRIBUTION❗ 😴 https://www.snopes.com/fact-check/buttigieg-electric-cars-gas-prices/
90,1650750561.940983,https://www.snopes.com/fact-check/seattle-first-responders-vaccines/ ❗MIXTURE❗ 😞 Visual evidence that circulated widely on Oct 19 2021 showed former Seattle POLICE OFFICERS and FIREFIGHTERS turning in their BOOTS at City Hall after supervisors had FIRED them for not complying with the citys COVID19 vaccination requirement  #officer
91,1650725480.306908,😴 █ An EMAIL says you have been selected to win a 1000 VENMO GIFT CARD 😭  #gift  #completion 😫 😒 ❗SCAM❗ https://www.snopes.com/fact-check/venmo-email-1000-gift-card/
92,1650725638.862151,█ 😒 🔫 In January 2022 PFIZER CEO Albert Bourla said the companys TWODOSE VACCINE offered limited or no protection against COVID19 😴 😞  🔫 ❗MOSTLY-FALSE❗ https://www.snopes.com/fact-check/pfizer-ceo-vaccine-covid-limited-protection/
93,1650750968.193992, #president  #trip US PRESIDENT JOE BIDEN once DROVE an 18WHEELER 😡 😩 ❗FALSE❗ 😩 https://www.snopes.com/fact-check/biden-18-wheeler-truck/ 😭 😔
94,1650750779.704092,Special APPS and software can REMOVE strategically placed STICKERS from FACEBOOK PHOTOS leaving children and others open to unwanted exposure online ❗FALSE❗ https://www.snopes.com/fact-check/remove-stickers-children-facebook/ 😔  #remove  #shared
95,1651670211.438169,😫  #fat  #lion  #ranger  #“giant https://www.snopes.com/fact-check/rangers-spot-giant-lion/ RANGERS spotted a GIANT LION and a veterinarian was SHOCKED after looking at the ULTRASOUND ❗FALSE❗
96,1650750808.474599,💀  😭 ❗MIXTURE❗ https://www.snopes.com/fact-check/diversity-day-the-office-cancelled/ 😭 😞 😭 The DIVERSITY Day episode of The OFFICE was CANCELED by COMEDY Central due to WOKE culture
97,1650725613.927985,� A photograph shows the original DESIGN of Mount RUSHMORE complete with each LEADERS suited BUST before FUNDING ran out ☺  https://www.snopes.com/fact-check/original-mt-rushmore-design/ 💃 ❗MOSTLY-TRUE❗ ♫
98,1650725558.94335,https://www.snopes.com/fact-check/last-photo-queen-mongolia/ A PICTURE shows the last PHOTOGRAPH of the last queen of MONGOLIA just before she was KILLED in 1938  #show 😪 💀 ❗MISCAPTIONED❗
99,1650750637.442689,❗FALSE❗ A PHOTOGRAPH shows a POORLY AGED MARILYN MANSON https://www.snopes.com/fact-check/marilyn-manson-photo/  #assault 😭
100,1650750857.363012,The US GOVERNMENT is paying FARMERS to destroy CROPS in order to create a FOOD SHORTAGE 😞 https://www.snopes.com/fact-check/government-farmers-destroy-crops/ 😫 ❗FALSE❗  #food  #government  #rumor
101,1650725561.343273,A VIDEO shows a WOMAN hanging by her HAIR in a TRAIN CAR ❗TRUE❗  #show  #suspension ❤ 😚 https://www.snopes.com/fact-check/woman-hanging-hair-train-car/
102,1650724435.382476,https://www.snopes.com/fact-check/elon-musk-wokeness/ █  ❗CORRECT-ATTRIBUTION❗ 🔫 TESLA CEO Elon MUSK said of wokeness that it gives people a SHIELD to be mean and cruel ARMORED in false virtue 😡 😪 😒 😞
103,1650750895.374993,A NEWSPAPER clipping from 1918 informing READERS of the dos and donts of FLU PREVENTION is authentic https://www.snopes.com/fact-check/flu-prevention-1918/ ❗TRUE❗ 🎶  #advice  #pandemic
104,1650725393.61121,🔥 ❗TRUE❗ https://www.snopes.com/fact-check/ukraine-letter-mark-zuckerberg/ © 💕  ✨ 💛 Ukrainian Deputy Prime Minister Mykhailo FEDOROV wrote a letter to Meta CEO Mark ZUCKERBERG calling for the company to BLOCK access to FACEBOOK and Instagram in Russia ★
105,1650725562.201447,😡  ❗FALSE❗ https://www.snopes.com/fact-check/costco-dungeness-crab/ COSTCO DISCONTINUED DUNGENESS CRAB in its SEAFOOD department 😭 😴
106,1650750826.468144,😒 ❗MISCAPTIONED❗ A VIDEO shows an American interpreter being HANGED from a Black Hawk HELICOPTER FLOWN by the TALIBAN  #black  #force  #show 🔫 😪 https://www.snopes.com/fact-check/taliban-hanging-black-hawk/
107,1650750474.157179,😞 The MODERNA COVID19 VACCINE CONTAINS LUCIFERASE 😒 https://www.snopes.com/fact-check/luciferase-covid-19-vaccines/  ❗FALSE❗
108,1650725319.285401,😡 😩 💀 😭 https://www.snopes.com/fact-check/congress-21-percent-pay-raise/  #official 😩 ❗MOSTLY-FALSE❗ In 2022 members of CONGRESS COLLECTIVELY voted to award themselves a 21 percent PAY RAISE 😒
109,1650750334.089558,The DONETSK Sergei PROKOFIEV International AIRPORT in UKRAINE is ABANDONED in the ocean ❗MISCAPTIONED❗ 😩 https://www.snopes.com/fact-check/abandoned-airport-ocean/  #abandoned
110,1650725436.183859, █ ❗FALSE❗ 😔 😔 😔 😭 COKE should always be POURED on WHEELS when TRAVELING alone https://www.snopes.com/fact-check/coke-wheels-alone/ 🔫
111,1650725638.098249,😒 ❗FALSE❗ █ https://www.snopes.com/fact-check/gorsuch-flu-kills-fake-quote/ 😔  #flu  #kill 😞 😞 US Supreme Court Justice NEIL GORSUCH said the FLU kills HUNDREDS of THOUSANDS of people every year 😪
112,1650750943.077833,😔 🔫 On Aug 3 2021 JEFFREY TOOBIN appeared on CNN to comment on the sexual assault ALLEGATIONS against New York Gov Andrew CUOMO 😴 https://www.snopes.com/fact-check/toobin-comment-scandal/  ❗FALSE❗
113,1650750457.913261, #show 😩 😡 https://www.snopes.com/fact-check/satellite-image-diwali/ 😴 ❗MISCAPTIONED❗ A NASA SATELLITE photograph shows INDIA during DIWALI CELEBRATIONS
114,1650750692.913086,😻 💞 ♥ 💁  ❗TRUE❗ https://www.snopes.com/fact-check/curetes-street-ephesus-illustration/ An ARTIST created a virtual ILLUSTRATION of Curetes a street in the ANCIENT GREEK city of EPHESUS
115,1650724492.531592,😄 ❗TRUE❗ 🙏 In Friends ROSSS mixup between EMILY and RACHEL originated by accident in a mistake by the actor DAVID SCHWIMMER  #show ☯ 😉 https://www.snopes.com/fact-check/friends-take-thee-rachel-schwimmer/
116,1650750843.470811,😻 😏 😻  #law  #veteran ❗TRUE❗ 🙈 😄 💋 US President Joe BIDEN signed legislation that helps VETERANS with PTSD get SERVICE DOGS https://www.snopes.com/fact-check/paws-act-veterans-ptsd-service-dogs/
117,1650725509.190911,🔫  #elite A video SHOWS AUSTRALIAS Elite Average GAMES a real OLYMPICSTYLE COMPETITION featuring average people 😩 https://www.snopes.com/fact-check/australia-elite-average-games/ 😴 ❗MISCAPTIONED❗
118,1650750419.511353,🔫 ❗FALSE❗ WORKERS SPOTTED a GIANT ANACONDA and couldnt believe what they found INSIDE 😔 😞 💀 😫  #giant  #snake https://www.snopes.com/fact-check/workers-spot-giant-snake/
