,id,model,sentence,eval
27,1650750407.865378,allegation_sentence,"miscaptioned , A photograph shows politicians flouting COVID-19 face-mask rules. 
",
28,1650750318.073773,T5,"a white nationalist group known as Patriot Front marched at the Lincoln memorial in 2021. john avlon: figures from the american right sought to undermine the authenticity of the rally. avlon: it is indeed a real, earnestly organized white nationalist group.",
29,1650750318.073773,BART,"In December 2021, members of a white nationalist group known as Patriot Front marched at the Lincoln Memorial and other parts of the National Mall in Washington, D.C., wearing face coverings and an improvised uniform of khaki pants and dark",
30,1650750318.073773,emotion_selection,"In December 2021, members of a white nationalist group known as Patriot Front marched at the Lincoln Memorial and other parts of the National Mall in Washington, D.C., wearing face coverings and an improvised uniform of khaki pants and dark blue jackets, and carrying shields and American flags.",
31,1650750318.073773,allegation_sentence,"false , A Dec. 4, 2021, rally in Washington D.C. was staged or faked by federal agents or actors, rather than a real white nationalist group called Patriot Front. 
",
32,1650750967.557243,T5,summit family restaurants filed for bankruptcy in 2021. the restaurant was shuttered due to the COVID-19 pandemic.,
33,1650750967.557243,BART,"In 2003, a classic episode of the comedic cartoon series “South Park” launched a Colorado restaurant into infamy. The episode featured the show’s often-villainous Eric Cartman visiting his favorite restaurant — Cas",
34,1650750967.557243,emotion_selection,"Summit Family Restaurants filed for Chapter 11 in April 2021, after being shuttered since mid-March 2020 due to the COVID-19 pandemic. It opened to give free tours in June 2021, but the kitchen remained closed.",
35,1650750967.557243,allegation_sentence,"true , The creators of the cartoon series ""South Park"" want to buy Casa Bonita, the restaurant featured on the show.
",
36,1650750509.375197,T5,"a video shared to the platform on June 19, 2021, went viral after a man claimed to live in a small town in central illinois ""surrounded by cornfields"" the video had been liked more than 31,000 times. the original poster did not name the town in which the bone was reportedly discovered",
37,1650750509.375197,BART,"A TikTok video shared to the platform on June 19, 2021, went viral after a man who claimed to live in a small town in central Illinois “surrounded by cornfields” said that the world’s largest",
38,1650750509.375197,emotion_selection,"But in late July, the Chicago Tribune identified the original poster as a man named Merf who lived north of Springfield in the small town of Sherman. In the article, reporter Christopher Borrelli noted that Merf had published subsequent videos in which claims to have applied for press credentials but needed to keep quiet because “science moves slowly.” Eventually, though, the gag was up. Borrelli wrote:  ",
39,1650750509.375197,allegation_sentence,"false , A dinosaur bone described as the world’s largest tibia was discovered on an Illinois farm.  
",
